"Site","2.5Credible Interval","Posterior Mean","97.5Credible Interval"
189,0.276616527457423,0.767270148442617,0.929851898806136
190,0.0735846684901166,0.46506184840855,0.703857890067341
191,0.210089537263687,0.705497663752896,0.903056490966379
192,0.075605011663179,0.384706153756485,0.633532582267942
193,0.181282221640592,0.781378248986664,0.949173697423042
194,0.0633137758318895,0.491905084642912,0.754676664351818
195,0.134840168989584,0.596071288165086,0.841796462611658
196,0.0337809492959111,0.279564658974725,0.527335418907633
197,0.0128460821514075,0.13644471378911,0.345162692045218
198,0.00275775024532882,0.0418140913435856,0.128704218368472
199,0.28387650745791,0.641970932922219,0.834161094126953
200,0.0790043852725759,0.310007789891603,0.51034443994822
201,0.276616527457423,0.767270148442617,0.929851898806136
202,0.0735846684901166,0.46506184840855,0.703857890067341
203,0.181282221640592,0.781378248986664,0.949173697423042
204,0.0633137758318895,0.491905084642912,0.754676664351818
205,0.134840168989584,0.596071288165086,0.841796462611658
206,0.0337809492959111,0.279564658974725,0.527335418907633
207,0.0128460821514075,0.13644471378911,0.345162692045218
208,0.00275775024532882,0.0418140913435856,0.128704218368472
209,0.00442587740551989,0.0739473485113083,0.241698953566578
210,0.00109945716726772,0.021770674261021,0.0776601085128037
